2025-03-05 02:33:22 - CPU: 0.3%, Memory: 25.3%, Process:
PID: 91, Name: irq/29-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 92, Name: irq/30-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 93, Name: irq/31-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 94, Name: irq/32-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 95, Name: irq/33-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 96, Name: irq/34-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 97, Name: irq/35-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 98, Name: irq/36-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 99, Name: irq/37-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 100, Name: irq/38-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 101, Name: irq/39-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 102, Name: irq/40-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 103, Name: irq/41-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 104, Name: irq/42-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 105, Name: irq/43-pciehp, Status sleeping, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 106, Name: kworker/R-acpi_thermal_pm, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 107, Name: kworker/R-mld, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 108, Name: kworker/R-ipv6_addrconf, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 113, Name: kworker/R-kstrp, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 117, Name: kworker/u21:0, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 118, Name: kworker/u22:0-ttm, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 119, Name: kworker/u23:0, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 120, Name: kworker/u24:0, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 121, Name: kworker/u25:0, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 183, Name: kworker/3:1H-kblockd, Status idle, CPU Time: pcputimes(user=0.0, system=0.03, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 185, Name: kworker/1:1H-kblockd, Status idle, CPU Time: pcputimes(user=0.0, system=0.03, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 193, Name: kworker/2:1H, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 217, Name: kworker/R-nvme-wq, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 218, Name: kworker/R-nvme-reset-wq, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
PID: 219, Name: kworker/R-nvme-delete-wq, Status idle, CPU Time: pcputimes(user=0.0, system=0.0, children_user=0.0, children_system=0.0, iowait=0.0)
